"SiteID","layerID","SimYear","nvar","Value","sd"
"JO124","1","30","31","14579.1869118265","0.5"
"JO124","2","6","31","19545.614656808","0.5"
"JO124","2","18","31","23262.8833237296","0.5"
"JO124","2","30","31","28687.0155401975","0.5"
"JO124","3","6","31","3391.13274005251","0.5"
"JO124","3","18","31","4088.41752509575","0.5"
"JO124","3","30","31","5094.98047510074","0.5"
"JO135","1","7","11","13.8777058462577","0.5"
"JO135","1","18","11","14.5788942173482","0.5"
"JO135","1","30","11","15.5919086018689","0.5"
"JO135","2","7","11","21.9004117506882","0.5"
"JO135","2","18","11","22.7863014981811","0.5"
"JO135","2","30","11","23.9006872834102","0.5"
"JO135","3","7","11","26.8457509235576","0.5"
"JO135","3","18","11","27.6479327262905","0.5"
"JO135","3","30","11","28.5734892563548","0.5"
"JO135","1","7","12","14.6517856454272","0.5"
"JO135","1","18","12","15.4652818488859","0.5"
"JO135","1","30","12","16.611868633943","0.5"
"JO135","2","7","12","24.0096818165693","0.5"
"JO135","2","18","12","25.4863704863145","0.5"
"JO135","2","30","12","27.4673724882321","0.5"
"JO135","3","7","12","33.2983673537705","0.5"
"JO135","3","18","12","35.1487137756746","0.5"
"JO135","3","30","12","37.3995347483948","0.5"
"JO135","1","7","13","4.6356904864058","0.5"
"JO135","1","18","13","5.22342138536863","0.5"
"JO135","1","30","13","6.07961882987323","0.5"
"JO135","2","7","13","8.12595629131276","0.5"
"JO135","2","18","13","9.16568383331082","0.5"
"JO135","2","30","13","10.6567971531059","0.5"
"JO135","3","7","13","1.94183587247637","0.5"
"JO135","3","18","13","2.16588378855488","0.5"
"JO135","3","30","13","2.45349659599103","0.5"
"JO135","1","7","14","4.59037587573964","0.5"
"JO135","1","18","14","4.97269057200418","0.5"
"JO135","1","30","14","5.48621405244451","0.5"
"JO135","2","7","14","7.43873143138105","0.5"
"JO135","2","18","14","7.84188814360039","0.5"
"JO135","2","30","14","8.35070343154409","0.5"
"JO135","3","7","14","8.76686793263376","0.5"
"JO135","3","18","14","9.15119103979191","0.5"
"JO135","3","30","14","9.59414561991719","0.5"
"JO135","1","7","17","255.555555555556","0.5"
"JO135","1","18","17","255.555555555556","0.5"
"JO135","1","30","17","255.555555555556","0.5"
"JO135","2","7","17","177.777777777778","0.5"
"JO135","2","18","17","177.777777777778","0.5"
"JO135","2","30","17","177.777777777778","0.5"
"JO135","3","7","17","22.2222222222222","0.5"
"JO135","3","18","17","22.2222222222222","0.5"
"JO135","3","30","17","22.2222222222222","0.5"
"JO135","1","7","30","33.6159879288855","0.5"
"JO135","1","18","30","41.2601980002003","0.5"
"JO135","1","30","30","52.9788977947066","0.5"
"JO135","2","7","30","86.5700993213555","0.5"
"JO135","2","18","30","103.127744009145","0.5"
"JO135","2","30","30","128.054748861628","0.5"
"JO135","3","7","30","24.3454721517464","0.5"
"JO135","3","18","30","28.3771688365235","0.5"
"JO135","3","30","30","33.7225041645891","0.5"
"JO135","1","7","31","5899.6058815194","0.5"
"JO135","1","18","31","7241.16474903515","0.5"
"JO135","1","30","31","9297.796562971","0.5"
"JO135","2","7","31","15193.0524308979","0.5"
"JO135","2","18","31","18098.9190736049","0.5"
"JO135","2","30","31","22473.6084252156","0.5"
"JO135","3","7","31","4272.6303626315","0.5"
"JO135","3","18","31","4980.19313080987","0.5"
"JO135","3","30","31","5918.29948088539","0.5"
"JO144","1","7","11","14.5753374894124","0.5"
"JO144","1","18","11","15.1027123540345","0.5"
"JO144","1","30","11","15.9792890241878","0.5"
"JO144","2","7","11","22.1995357288893","0.5"
"JO144","2","18","11","23.0698548041735","0.5"
"JO144","2","30","11","24.460351216248","0.5"
"JO144","3","7","11","25.9129200095511","0.5"
"JO144","3","18","11","27.1089793591638","0.5"
"JO144","3","30","11","28.6236625403806","0.5"
"JO144","1","7","12","14.6211763573634","0.5"
"JO144","1","18","12","15.2549495974097","0.5"
"JO144","1","30","12","16.2652284917697","0.5"
"JO144","2","7","12","23.9203214992562","0.5"
"JO144","2","18","12","25.4351743748326","0.5"
"JO144","2","30","12","28.1019816741748","0.5"
"JO144","3","7","12","30.7382497875204","0.5"
"JO144","3","18","12","33.3878720495931","0.5"
"JO144","3","30","12","37.073575495223","0.5"
"JO144","1","7","13","9.74326564267331","0.5"
"JO144","1","18","13","10.7112252458294","0.5"
"JO144","1","30","13","12.277448809984","0.5"
"JO144","2","7","13","6.56991672334347","0.5"
"JO144","2","18","13","7.4485416487362","0.5"
"JO144","2","30","13","9.16008132641192","0.5"
"JO144","3","7","13","0.824528445227161","0.5"
"JO144","3","18","13","0.972802891830339","0.5"
"JO144","3","30","13","1.1994338952018","0.5"
"JO144","1","7","14","6.83974506926824","0.5"
"JO144","1","18","14","7.04903357785975","0.5"
"JO144","1","30","14","7.39124115204017","0.5"
"JO144","2","7","14","7.7200988610658","0.5"
"JO144","2","18","14","7.98219946378476","0.5"
"JO144","2","30","14","8.35283334897343","0.5"
"JO144","3","7","14","8.93122427198886","0.5"
"JO144","3","18","14","9.33067820387518","0.5"
"JO144","3","30","14","9.80319070871711","0.5"
"JO144","1","7","17","544.444444444444","0.5"
"JO144","1","18","17","544.444444444444","0.5"
"JO144","1","30","17","544.444444444444","0.5"
"JO144","2","7","17","144.444444444444","0.5"
"JO144","2","18","17","144.444444444444","0.5"
"JO144","2","30","17","144.444444444444","0.5"
"JO144","3","7","17","11.1111111111111","0.5"
"JO144","3","18","17","11.1111111111111","0.5"
"JO144","3","30","17","11.1111111111111","0.5"
"JO144","1","7","30","97.9036583202491","0.5"
"JO144","1","18","30","111.359680428762","0.5"
"JO144","1","30","30","133.792207750376","0.5"
"JO144","2","7","30","73.0146204571871","0.5"
"JO144","2","18","30","85.9276020008159","0.5"
"JO144","2","30","30","111.410619674007","0.5"
"JO144","3","7","30","10.4900038342216","0.5"
"JO144","3","18","30","12.9375816821969","0.5"
"JO144","3","30","30","16.7697914034754","0.5"
"JO144","1","7","31","17182.0920352037","0.5"
"JO144","1","18","31","19543.6239152477","0.5"
"JO144","1","30","31","23480.532460191","0.5"
"JO144","2","7","31","12814.0658902363","0.5"
"JO144","2","18","31","15080.2941511432","0.5"
"JO144","2","30","31","19552.5637527882","0.5"
"JO144","3","7","31","1840.99567290589","0.5"
"JO144","3","18","31","2270.54558522556","0.5"
"JO144","3","30","31","2943.09839130993","0.5"
"PA06B","1","6","11","12.2642393421483","0.5"
"PA06B","1","17","11","12.5239706018301","0.5"
"PA06B","1","30","11","13.3307567103474","0.5"
"PA06B","2","6","11","23.4338281484576","0.5"
"PA06B","2","17","11","24.1017693118019","0.5"
"PA06B","2","30","11","24.8327178629335","0.5"
"PA06B","3","6","11","27.0167515024667","0.5"
"PA06B","3","17","11","27.7346772888262","0.5"
"PA06B","3","30","11","28.6632853560015","0.5"
"PA06B","1","6","12","12.3941319079674","0.5"
"PA06B","1","17","12","12.652379461922","0.5"
"PA06B","1","30","12","13.2917386084722","0.5"
"PA06B","2","6","12","25.9945509234545","0.5"
"PA06B","2","17","12","27.2807501671628","0.5"
"PA06B","2","30","12","28.8236669962532","0.5"
"PA06B","3","6","12","33.3814850718795","0.5"
"PA06B","3","17","12","35.1164052880936","0.5"
"PA06B","3","30","12","37.4936758767073","0.5"
"PA06B","1","6","13","1.57012382961749","0.5"
"PA06B","1","17","13","1.64125635952869","0.5"
"PA06B","1","30","13","1.79587671420904","0.5"
"PA06B","2","6","13","9.05126222921164","0.5"
"PA06B","2","17","13","9.99115312008789","0.5"
"PA06B","2","30","13","11.2272569282895","0.5"
"PA06B","3","6","13","8.80597256530557","0.5"
"PA06B","3","17","13","9.74480807739975","0.5"
"PA06B","3","30","13","11.1057705586275","0.5"
"PA06B","1","6","14","6.32252115743868","0.5"
"PA06B","1","17","14","6.52686400942616","0.5"
"PA06B","1","30","14","6.90426855984113","0.5"
"PA06B","2","6","14","11.4286527717174","0.5"
"PA06B","2","17","14","11.8013085917968","0.5"
"PA06B","2","30","14","12.2177561597781","0.5"
"PA06B","3","6","14","13.2021078562679","0.5"
"PA06B","3","17","14","13.6005652744929","0.5"
"PA06B","3","30","14","14.1179327037681","0.5"
"PA06B","1","6","17","118.75","0.5"
"PA06B","1","17","17","118.75","0.5"
"PA06B","1","30","17","118.75","0.5"
"PA06B","2","6","17","168.75","0.5"
"PA06B","2","17","17","168.75","0.5"
"PA06B","2","30","17","168.75","0.5"
"PA06B","3","6","17","100","0.5"
"PA06B","3","17","17","100","0.5"
"PA06B","3","30","17","100","0.5"
"PA06B","1","6","30","16.3659130160878","0.5"
"PA06B","1","17","30","17.6589341124088","0.5"
"PA06B","1","30","30","20.2005781503605","0.5"
"PA06B","2","6","30","148.940922770916","0.5"
"PA06B","2","17","30","170.119397567502","0.5"
"PA06B","2","30","30","199.440464787404","0.5"
"PA06B","3","6","30","166.921646270262","0.5"
"PA06B","3","17","30","190.26170972242","0.5"
"PA06B","3","30","30","224.964913975175","0.5"
"PA06B","1","6","31","2872.21773432341","0.5"
"PA06B","1","17","31","3099.14293672774","0.5"
"PA06B","1","30","31","3545.20146538827","0.5"
"PA06B","2","6","31","26139.1319462958","0.5"
"PA06B","2","17","31","29855.9542730967","0.5"
"PA06B","2","30","31","35001.8015701895","0.5"
"PA06B","3","6","31","29294.7489204309","0.5"
"PA06B","3","17","31","33390.9300562846","0.5"
"PA06B","3","30","31","39481.3424026432","0.5"
"PA121","1","10","11","11.0928773680696","0.5"
"PA121","1","17","11","11.5647733829138","0.5"
"PA121","1","30","11","12.7851252890884","0.5"
"PA121","2","10","11","21.6876065811329","0.5"
"PA121","2","17","11","21.8955293057629","0.5"
"PA121","2","30","11","22.5022467284783","0.5"
"PA121","3","10","11","25.5145435662069","0.5"
